,gender,age,experience,accompany,satisfy
0,1,79,1,3,0
1,1,62,0,3,0
2,2,70,0,1,0
3,2,26,1,3,0
4,1,24,0,1,1
5,2,31,0,3,0
6,1,67,0,3,0
7,1,25,0,0,1
8,1,53,0,2,0
9,1,4,0,2,1
10,1,43,0,2,1
11,1,48,0,3,1
12,2,33,0,2,0
13,2,44,0,2,1
14,1,1,0,2,1
15,1,25,1,3,1
16,1,43,0,3,1
17,1,34,0,2,0
18,2,60,0,2,0
19,1,16,0,2,1
20,2,26,1,1,0
21,2,54,0,1,0
22,2,8,0,3,1
23,1,21,0,0,0
24,1,49,0,1,0
25,2,43,1,3,0
26,2,41,0,1,1
27,2,79,0,1,1
28,2,76,0,1,1
29,1,48,0,2,0
30,2,53,1,0,1
31,2,55,0,1,1
32,2,31,0,2,0
33,1,7,0,1,1
34,2,43,0,2,0
35,1,48,0,2,0
36,1,49,0,2,0
37,2,8,0,2,1
38,2,62,0,2,0
39,1,54,0,3,0
40,1,44,0,1,1
41,1,27,0,1,0
42,2,16,0,2,1
43,1,57,0,1,0
44,1,43,0,2,0
45,2,8,0,3,1
46,2,70,0,3,0
47,1,7,1,2,1
48,2,47,0,3,1
49,1,23,0,2,0
50,2,54,0,3,1
51,2,34,0,1,1
52,2,52,0,3,1
53,1,76,0,2,0
54,2,41,0,3,1
55,2,14,0,3,0
56,2,40,1,3,1
57,1,33,0,2,0
58,2,47,0,2,1
59,2,39,0,2,0
60,1,22,0,1,1
61,2,49,0,1,0
62,2,69,0,3,1
63,2,46,0,2,1
64,1,13,0,2,0
65,2,17,0,0,1
66,2,79,0,2,0
67,1,11,0,2,1
68,2,45,0,3,0
69,2,32,0,2,0
70,2,74,0,3,0
71,1,72,0,0,0
72,1,72,0,1,1
73,2,51,1,3,1
74,2,28,0,1,1
75,1,0,1,3,1
76,2,30,0,0,0
77,1,12,0,3,1
78,1,57,0,3,1
79,1,9,0,1,1
80,1,4,0,2,1
81,2,75,0,3,1
82,2,21,0,1,1
83,1,36,0,2,1
84,2,79,0,1,0
85,2,2,1,2,1
86,2,9,0,2,1
87,2,41,0,3,1
88,2,61,0,2,0
89,1,52,1,3,0
90,2,27,0,1,1
91,2,48,0,2,0
92,2,54,0,3,1
93,1,49,0,3,0
94,2,30,0,2,0
95,1,56,0,3,0
96,1,48,0,2,0
97,2,50,1,1,1
98,1,52,0,1,0
99,1,40,0,1,1
100,2,57,0,2,1
101,2,10,0,0,0
102,2,51,0,1,0
103,2,69,0,3,1
104,1,24,0,2,0
105,2,32,0,1,1
106,2,40,0,3,1
107,2,49,0,3,1
108,2,17,0,3,0
109,2,77,0,1,1
110,1,76,0,1,0
111,2,67,0,3,1
112,1,13,1,2,0
113,2,39,0,2,0
114,1,72,0,1,0
115,1,74,0,3,1
116,1,51,0,1,0
117,2,25,1,3,1
118,2,69,0,3,0
119,1,56,0,3,1
120,1,53,0,3,0
121,1,79,0,3,1
122,2,66,0,3,0
123,2,71,0,2,0
124,1,3,0,1,1
125,2,2,0,3,1
126,2,3,0,3,1
127,2,55,0,1,0
128,2,18,0,0,1
129,1,53,0,2,1
130,2,36,0,2,0
131,2,13,0,1,1
132,1,32,1,3,0
133,1,48,0,2,0
134,2,45,0,2,0
135,2,24,0,2,0
136,1,42,0,1,0
137,1,69,0,2,0
138,1,13,1,0,0
139,1,19,1,1,1
140,1,54,0,0,0
141,2,35,0,1,1
142,2,36,0,1,0
143,1,1,0,1,1
144,2,62,0,2,0
145,1,44,0,2,0
146,1,40,0,2,0
147,1,69,0,2,0
148,1,7,1,3,1
149,2,51,0,3,0
150,1,30,0,0,0
151,1,48,0,2,1
152,2,15,1,1,0
153,2,14,1,3,0
154,2,34,0,2,0
155,1,10,0,2,0
156,1,27,0,3,0
157,1,3,0,0,1
158,1,47,0,1,0
159,2,30,0,0,1
160,2,75,0,3,0
161,2,78,0,1,0
162,1,47,0,1,0
163,1,54,0,3,0
164,2,40,0,2,0
165,1,21,0,2,1
166,2,8,0,2,1
167,1,55,0,2,1
168,2,12,0,2,1
169,2,2,0,3,1
170,1,57,0,1,1
171,2,61,1,1,1
172,1,50,0,1,0
173,1,21,1,3,1
174,1,58,0,1,0
175,1,5,1,1,1
176,1,10,0,3,0
177,1,28,0,2,0
178,2,41,0,2,1
179,2,1,0,2,1
180,2,44,0,1,0
181,1,23,0,2,0
182,2,43,1,2,0
183,2,14,0,3,0
184,1,20,0,3,0
185,2,9,1,1,1
186,1,35,0,3,1
187,2,4,0,1,1
188,1,57,0,1,0
189,2,20,0,2,0
190,2,42,0,3,1
191,2,76,0,1,0
192,2,18,0,1,1
193,1,41,1,3,0
194,2,65,1,3,1
195,1,59,0,1,0
196,2,68,1,1,1
197,1,4,0,0,1
198,1,32,0,1,0
199,2,38,0,1,0
