gender,age,experience,accompany,satisfy
2,72,0,3,1
1,31,1,1,1
2,15,0,2,1
1,35,0,2,1
2,37,0,1,1
1,54,0,1,1
2,51,1,3,1
2,18,0,3,1
2,60,1,1,1
1,73,0,1,1
1,0,1,1,0
2,37,0,2,1
2,10,0,1,1
1,52,0,3,1
1,58,0,3,1
1,63,0,2,1
1,3,0,1,1
2,63,0,1,1
1,52,0,2,1
2,3,0,3,0
1,52,0,0,1
1,75,0,2,1
1,79,0,0,1
2,73,0,3,1
2,64,0,2,1
1,75,0,1,1
2,10,0,2,1
1,44,1,3,1
2,10,0,3,0
2,41,0,2,1
2,69,0,1,1
2,13,0,1,1
2,11,0,2,1
1,16,0,2,0
2,27,0,1,1
1,48,0,1,1
1,51,0,1,1
1,32,0,2,1
1,55,0,3,1
1,49,0,3,1
1,40,0,1,1
1,2,0,1,0
1,51,0,2,1
2,31,0,0,1
2,0,1,3,1
1,62,0,2,1
1,57,0,1,1
2,71,0,2,1
1,10,1,3,1
2,40,0,2,1
2,3,1,1,0
2,46,0,0,1
2,75,0,3,1
1,67,0,3,1
1,4,0,3,0
2,51,0,1,1
1,39,0,1,1
1,79,0,1,1
2,12,0,1,1
2,48,0,1,1
1,13,0,2,1
1,7,0,3,1
2,75,0,2,1
2,75,0,1,1
2,29,0,2,1
1,53,0,3,1
1,76,0,2,1
2,57,0,2,1
1,66,0,3,1
2,5,0,1,1
2,32,1,1,1
2,40,1,1,1
2,79,0,3,1
1,29,0,1,1
1,21,1,1,1
1,68,0,2,1
1,23,0,2,1
1,75,0,0,1
1,37,0,3,1
2,2,0,1,0
1,20,1,1,1
2,70,0,1,1
1,9,0,1,1
1,7,0,3,1
1,11,0,3,1
1,6,0,3,1
1,50,0,1,1
1,34,0,2,1
2,47,0,1,1
1,2,0,3,0
1,3,0,1,1
2,61,0,1,1
2,57,0,2,1
2,63,0,2,1
2,67,0,0,1
1,11,0,2,0
2,65,0,3,1
1,53,0,1,1
1,76,0,3,1
2,72,1,2,1
2,66,0,2,1
2,79,0,1,1
2,30,0,3,1
2,77,0,1,1
1,16,0,1,1
2,32,0,3,1
1,72,0,0,1
1,21,0,1,1
2,70,0,3,1
2,65,0,1,1
2,6,0,1,0
1,16,0,1,0
2,75,0,3,1
2,9,1,1,0
1,60,0,2,1
2,42,0,2,1
1,67,0,3,1
1,11,0,2,1
1,17,0,0,1
2,42,1,1,1
1,77,0,3,1
1,8,1,2,0
2,52,1,2,1
2,38,0,3,1
1,33,0,3,1
1,25,0,3,1
1,60,0,3,1
2,44,0,3,1
1,32,0,1,1
2,43,0,2,1
1,63,0,1,1
2,55,0,2,1
1,71,0,1,1
1,77,0,3,1
1,10,0,2,1
1,24,0,1,1
2,27,0,3,1
2,68,0,2,1
1,58,0,1,1
1,8,0,1,0
1,58,0,1,1
2,28,0,3,1
1,42,0,1,1
2,10,0,2,1
1,0,0,2,0
2,42,1,1,1
2,66,0,3,1
1,31,0,1,1
2,66,0,1,1
1,28,0,2,1
2,33,0,3,1
1,28,0,2,1
1,13,0,2,1
2,11,0,3,1
2,9,0,1,1
2,9,0,1,1
2,5,0,3,0
1,29,0,2,1
2,16,0,3,0
1,26,0,3,1
2,71,1,1,1
1,60,0,1,1
2,32,0,2,1
1,30,0,3,1
1,68,0,3,1
2,36,0,3,1
1,48,0,1,1
2,57,0,1,1
1,52,0,1,1
2,41,0,3,1
1,76,0,3,1
1,46,0,1,1
1,21,1,1,1
1,35,0,3,1
2,78,0,0,1
1,74,0,2,1
2,70,0,3,1
1,71,0,2,1
1,43,0,3,1
1,29,0,3,1
1,30,0,2,1
1,75,0,0,1
1,10,0,3,1
2,32,0,2,1
1,77,0,3,1
2,66,0,3,1
1,11,0,1,0
1,21,0,1,1
1,29,1,1,1
2,60,0,2,1
2,50,1,1,1
2,3,0,2,0
1,57,1,3,1
1,34,0,1,1
2,13,1,2,1
2,73,0,2,1
1,30,0,3,1
1,67,1,1,1
2,73,0,2,1
1,26,0,1,1
